College Name,State,College Type,College Size,College Setting,Acceptance Rate,% Financial Need Met,% Students of Color,Fly-in Program,Virtual Tour,Virtual Info Session,CollegeGreenlight Profile,QuestBridge Partner School,Colleges That Change Lives,Early Action Deadline,Early Action II Deadline,Early Decision Deadline,Early Decision II Deadline,Regular Decision Deadline,Application Type,Test Optional Details,Undocumented Students Info
Hamilton College,NY,Private,"Small (<2,000)",Rural,16%,100%,36%,https://my.hamilton.edu/admission/promise-program,www.youvisit.com/tour/hamilton,www.hamilton.edu/admission/information-sessions,https://www.collegegreenlight.com/colleges/Hamilton-College,https://www.questbridge.org/college-partners/hamilton-college,,,,11/15/2020,1/1/2021,1/1/2021,"Common Application,Coalition Application",https://www.hamilton.edu/admission/apply/testing,https://www.hamilton.edu/offices/dos/international-student-services/immigration-resources
Harvard University,MA,Private,"Medium (2,000 - 15,000)",Urban,5%,100%,66%,,https://college.harvard.edu/admissions/explore-harvard/virtual-tour,https://apply.college.harvard.edu/portal/online-info-sessions,https://www.collegegreenlight.com/colleges/Harvard-College,,,11/1/2020,,,,1/1/2021,"Common Application,Coalition Application",https://college.harvard.edu/about/news-announcements/admission-application-considerations-class-2025,https://undocumented.harvard.edu/
Harvey Mudd College,CA,Private,"Small (<2,000)",Suburban,14%,100%,69%,,https://www.youtube.com/watch?v=Q3Hc_mleL0U,https://www.hmc.edu/admission/2020/04/18/admission-office-hours-and-information-sessions-online/,https://www.cappex.com/colleges/harvey-mudd-college,,,,,11/15/2020,1/5/2020,1/5/2021,"Common Application,Coalition Application","https://www.hmc.edu/admission/apply/first-year-students/application-materials/#:~:text=Standardized%20Testing,ACT's%20(see%20full%20announcement).","https://www.hmc.edu/admission/afford/international-student-financial-aid/undocumented-students/#:~:text=Undocument%20students%20are%20students%20who,visas%20and%20chose%20to%20stay"
Haverford College,PA,Private,"Small (<2,000)",Suburban,16%,100%,47%,www.haverford.edu/havealook,www.youvisit.com/tour/110240/128235/,https://www.haverford.edu/admission/visiting,https://www.collegegreenlight.com/colleges/Haverford-College,https://www.questbridge.org/college-partners/haverford-college,,,,11/15/2020,1/1/2021,1/15/2021,Common Application,https://www.haverford.edu/admission/blog/haverford-adopts-test-optional-policy,"https://www.haverford.edu/financial-aid/frequently-asked-questions/international-students-faq#:~:text=of%20their%20application.-,We%20do%20meet%20100%25%20of%20the,need%20of%20all%20admitted%20students.&text=Can%20undocumented%20students%20receive%20financial,need%20of%20all%20admitted%20students."
Johns Hopkins University,MD,Private,"Medium (2,000 - 15,000)",Urban,10%,100%,72%,https://apply.jhu.edu/home-program/,https://www.youvisit.com/tour/jhuhomewood?lead_source_detail=google_ads&utm_medium=paidsearch&personsource=advertising&yv_campaign=57ru8kg7&utm_term=%2Bjohns%20%2Bhopkins%20%2Buniversity%20%2Bvirtual%20%2Btour&utm_campaign=Partner%20Schools&utm_adgroup=Partner%20Schools%20-%20Johns%20Hopkins%20University&utm_source=adwords&gclid=EAIaIQobChMI14f559-p6gIVEvDACh0P8gHIEAAYAiAAEgLRV_D_BwE,https://apply.jhu.edu/campus-and-community/visit-hopkins/,https://www.collegegreenlight.com/colleges/Johns-Hopkins-University,,,,,11/2/2020,,1/4/2021,"Common Application,Coalition Application","https://apply.jhu.edu/standardized-test-information/#:~:text=Because%20testing%20availability%20and%20access,in%20the%20fall%20of%202021).&text=We%20also%20recognize%20that%20the,a%20student's%20high%20school%20experience.",https://finaid.jhu.edu/undergraduate-aid/students-with-undocumented-or-daca-status/
Massachusetts Institute of Technology,MA,Private,"Medium (2,000 - 15,000)",Urban,7%,100%,71%,mitadmissions.org/pages/wise/,web.mit.edu/vrtour/,,www.collegegreenlight.com/colleges/Massachusetts-Institute-of-Technology,https://www.questbridge.org/college-partners/massachusetts-institute-of-technology,,11/1/2020,,,,1/1/2021,School Specific Application,mitadmissions.org/apply/firstyear/tests-scores/,https://mitadmissions.org/apply/firstyear/undocumented-applicants/
Middlebury College,VT,Private,"Medium (2,000 - 15,000)",Rural,15%,100%,38%,www.middlebury.edu/admissions/visit/programs,www.middlebury.edu/admissions/visit/alttours,https://admissions.middlebury.edu/portal/campus-visit,https://www.collegegreenlight.com/colleges/Middlebury-College,,,,,11/1/2020,1/1/2021,1/1/2021,Common Application,https://www.middlebury.edu/college/admissions/apply/standardized-tests,https://www.middlebury.edu/college/admissions/apply/undocumented
New York University,NY,Private,"Large (15,000 - 25,000)",Urban,16%,71%,75%,,https://www.nyu.edu/admissions/undergraduate-admissions/visit-nyu/virtual-visit.html,https://connect.nyu.edu/portal/virtual_info,https://www.collegegreenlight.com/colleges/New-York-University,,,,,11/1/2020,1/1/2020,1/1/2021,Common Application,https://www.nyu.edu/admissions/undergraduate-admissions/how-to-apply/standardized-tests.html,https://www.nyu.edu/admissions/financial-aid-and-scholarships/undocumented.html
Northeastern University,MA,Private,"Large (15,000 - 25,000)",Urban,18%,100%,55%,,https://www.youvisit.com/tour/northeastern/,https://ugadmissions.northeastern.edu/visitorcenter/campusvisitregWelcome.asp#_ga=2.23312441.201786645.1593549202-1365314195.1591900552,https://www.collegegreenlight.com/colleges/Northeastern-University,,,11/1/2020,,11/1/2020,1/1/2021,1/1/2021,"Common Application,Coalition Application","https://www.northeastern.edu/admissions/application-information/#:~:text=SAT%2FACT%20Testing%3A%20Northeastern%20has,do%20so%20if%20they%20choose.",http://www.northeastern.edu/executive-orders/
Northwestern University,IL,Private,"Medium (2,000 - 15,000)",Suburban,9%,100%,56%,,https://admissions.northwestern.edu/visit/experience/virtual-tour.html,https://admissions.northwestern.edu/visit/plan-your-visit/,https://www.cappex.com/colleges/northwestern-university,https://www.questbridge.org/college-partners,,,,11/1/2022,,1/2/2023,"Common Application,Coalition Application",https://admissions.northwestern.edu/faqs/standardized-testing-for-2020-21/,https://admissions.northwestern.edu/faqs/undocumented-students/
Pitzer College,CA,Private,"Small (<2,000)",Suburban,14%,100%,51%,https://connect.pitzer.edu/register/FA20DiversityProgram,www.pitzer.edu/communications/2018/02/01/pitzer-college-tour/,https://www.pitzer.edu/admission/virtual-connections/,https://www.cappex.com/colleges/pitzer-college,,,,,11/15/2020,1/1/2021,1/1/2021,Common Application,"https://www.pitzer.edu/admission/admission/apply/first-year-applicants/#:~:text=Pitzer%20is%20test%2Doptional.,to%20submit%20scores%20or%20not.",https://www.pitzer.edu/sanctuary/
Pomona College,CA,Private,"Small (<2,000)",Suburban,7%,100%,66%,www.pomona.edu/admissions/why-pomona/diversity-pomona/perspectives-pomona-pop,www.youtube.com/watch?v=0yM4MSU4eI0,https://admissions.pomona.edu/portal/visit-campus,https://www.cappex.com/colleges/pomona-college,https://www.questbridge.org/college-partners/oberlin-college,,,,11/15/2020,1/8/2021,1/8/2021,"Common Application,Coalition Application","https://www.pomona.edu/admissions/apply/application-overview#:~:text=For%20first%2Dyear%20and%20transfer%20applicants%20for%20admission%20for%20Fall,report%20them%20on%20their%20applications.","https://www.pomona.edu/daca#:~:text=Pomona%20College%20is%20committed%20to,DACAmented%20students%20within%20higher%20education."
Princeton University,NJ,Private,"Medium (2,000 - 15,000)",Suburban,6%,100%,58%,,https://www.youvisit.com/tour/princeton,https://admission.princeton.edu/virtual-visit/virtual-information-session,https://www.collegegreenlight.com/colleges/Princeton-University,https://www.questbridge.org/college-partners/princeton-university,,11/1/2020,,,,1/1/2021,"Common Application,Coalition Application",https://admission.princeton.edu/how-apply/standardized-testing,https://inclusive.princeton.edu/community-resources/inclusive-community/daca-faqs
Rice University,TX,Private,"Medium (2,000 - 15,000)",Urban,9%,100%,68%,https://admission.rice.edu/soar,https://graduate.rice.edu/virtual-tour,https://riceadmission.rice.edu/portal/virtual-info,https://www.collegegreenlight.com/colleges/Rice-University,https://www.questbridge.org/college-partners/princeton-university,,,,11/1/2020,,1/1/2021,"Common Application,Coalition Application",https://news.rice.edu/2020/06/16/rice-announces-a-one-year-test-optional-policy-for-the-applicants-to-rice/,https://daca.rice.edu/
Robert Morris University (IL),IL,Private,"Small (<2,000)",Urban,16%,52%,69%,,https://www.roosevelt.edu/admission/visit,,https://www.cappex.com/colleges/robert-morris-university,,,,,,,5/1/2021,School Specific Application,https://www.rmu.edu/admissions/test-optional,https://www.roosevelt.edu/current-students/support-services/oasis
Stanford University,CA,Private,"Medium (2,000 - 15,000)",Suburban,4%,100%,68%,,https://visit.stanford.edu/tours/virtual/,https://visit.stanford.edu/,https://www.cappex.com/colleges/stanford-university,https://www.questbridge.org/college-partners/stanford-university,,11/1/2022,,,,12/1/2020,"Common Application,Coalition Application",https://admission.stanford.edu/announcements/,"https://admission.stanford.edu/apply/undocumented/index.html#:~:text=Stanford%20assesses%20undocumented%20and%20DACA,factor%20in%20making%20admissions%20decisions."
Swarthmore College,PA,Private,"Small (<2,000)",Suburban,9%,100%,62%,www.swarthmore.edu/admissions-aid/discover-swarthmore-fly-program,campusmap.swarthmore.edu/?id=713#!t/1397:1,https://apply.swarthmore.edu/register/?id=c2f1ba86-6040-411a-b846-c2cb4161c9bb,https://www.collegegreenlight.com/colleges/Swarthmore-College,https://www.questbridge.org/college-partners/swarthmore-college,,,,11/15/2020,,1/4/2021,"Common Application,Coalition Application",https://www.swarthmore.edu/admissions-aid/standardized-testing-policy,https://www.swarthmore.edu/admissions-aid/undocumented-students
The Juilliard School,NY,Private,"Small (<2,000)",Urban,7%,72%,64%,,https://www.youtube.com/watch?v=v1k_18-NOB0,https://apply.juilliard.edu/portal/departmental-sessions,https://www.collegegreenlight.com/colleges/The-Juilliard-School,,,,,,,12/1/2020,School Specific Application,Test optional unless homeschooled,https://www.juilliard.edu/campus-life/financial-aid
