College Name,State,College Type,College Size,College Setting,Acceptance Rate,% Financial Need Met,% Students of Color,Fly-in Program,Virtual Tour,Virtual Info Session,CollegeGreenlight Profile,QuestBridge Partner School,Colleges That Change Lives,Early Action Deadline,Early Action II Deadline,Early Decision Deadline,Early Decision II Deadline,Regular Decision Deadline,Application Type,Test Optional Details,Undocumented Students Info
Rhodes College,TN,Private,"Small (<2,000)",Urban,45%,94%,34%,,www.rhodes.edu/admission-aid/visit-rhodes/video-tour,https://admission.rhodes.edu/portal/webinar,https://www.collegegreenlight.com/colleges/Rhodes-College,,https://ctcl.org/rhodes-college/,11/15/2020,,11/1/2020,11/15/2020,1/1/2021,Common Application,"https://news.rhodes.edu/stories/rhodes-college-adopts-test-optional-admissions-policy#:~:text=Rhodes%20College%20will%20not%20require,2022%2C%20and%20Fall%20of%202023.&text=We%20don't%20want%20the,to%20add%20to%20their%20stress.",https://www.rhodes.edu/admission-aid/admission-faqs#Q12  https://sites.rhodes.edu/iss/resources-daca-students
San Diego State University,CA,Public,"Large (15,000 - 25,000)",Urban,34%,67%,66%,,https://admissions.sdsu.edu/tours_events/virtual-visits#,https://admissions.sdsu.edu/tours_events/explore/virtual-info-sessions,https://www.cappex.com/colleges/san-diego-state-university,,,,,,,10/1/2020,School Specific Application,,https://studentaffairs.sdsu.edu/EOP/Modern/AB540_new.html
Santa Clara University,CA,Private,"Medium (2,000 - 15,000)",Suburban,49%,77%,53%,,https://www.scu.edu/admission/visits-events/virtual-tour/,https://www.scu.edu/admission/visits-events/,https://www.cappex.com/colleges/santa-clara-university,,,11/1/2020,,11/1/2020,1/7/2021,1/7/2021,Common Application,https://www.scu.edu/admission/undergraduate/first-year-students/fy-key-deadlines/,"https://www.scu.edu/admission/undergraduate/undocumented-students/#:~:text=At%20Santa%20Clara%20we%20welcome,first%2Dyear%20or%20transfer%20student."
Scripps College,CA,"Private,All Women's College","Small (<2,000)",Suburban,32%,100%,47%,http://www.scrippscollege.edu/admission/discoverscripps,https://www.scrippscollege.edu/admission/visit,https://www.scrippscollege.edu/admission/visit#collapse1,https://www.cappex.com/colleges/scripps-college,https://www.questbridge.org/college-partners/scripps-college,,,,11/15/2020,1/5/2021,1/5/2021,Common Application,"https://www.scrippscollege.edu/admission/admission-announcements#:~:text=On%20March%206%2C%202020%2C%20the,scores%20optional%20for%20all%20applicants.&text=This%20decision%20supports%20the%20College's,who%20will%20thrive%20at%20Scripps.",https://www.scrippscollege.edu/diversity/news/support-and-resources-for-daca-students
Skidmore College,NY,Private,"Medium (2,000 - 15,000)",Suburban,30%,100%,38%,,www.skidmore.edu/admissions/visit/youvisit.php#virtualtour,https://www.skidmore.edu/admissions/visit/schedule.php,https://www.collegegreenlight.com/colleges/Skidmore-College,,,,,11/15/2020,,1/15/2021,Common Application,"https://www.skidmore.edu/admissions/apply/checklist.php#:~:text=Skidmore%20College%20is%20test%2Doptional,best%20represent%20their%20academic%20potential.","https://www.skidmore.edu/admissions/international/faqs.php#:~:text=Skidmore%20College%20accepts%20applications%20from,students%2C%20regardless%20of%20citizenship%20status."
Smith College,MA,"Private,All Women's College","Medium (2,000 - 15,000)",Suburban,32%,100%,51%,https://www.smith.edu/admission-aid/explore-admission-aid/women-distinction-program,https://campustours.com/college/167835/Smith-College,https://www.smith.edu/admission-aid/tours-info,https://www.collegegreenlight.com/colleges/Smith-College,,,,,11/15/2020,,1/15/2021,"Common Application,Coalition Application","https://www.smith.edu/admission-aid/criteria#:~:text=Smith%20is%20test%20optional%20for,about%20our%20standardized%20testing%20policy.",https://www.smith.edu/about-smith/sfs/financial-aid/undocumented
Southern Methodist University,TX,Private,"Medium (2,000 - 15,000)",Suburban,47%,85%,36%,,https://www.smu.edu/Admission/Visit/VirtualTour,https://admission.smu.edu/portal/vinfosession,https://www.collegegreenlight.com/colleges/Southern-Methodist-University,,,11/1/2020,,11/1/2020,,1/15/2021,"Coalition Application,Common Application",,https://www.smu.edu/News/2017/daca-letter-8spt2017
Southwestern University,TX,Private,"Small (<2,000)",Suburban,49%,89%,39%,,https://www.southwestern.edu/admission/virtual-southwestern/,https://admission.southwestern.edu/portal/virtualinfosessions,https://www.collegegreenlight.com/colleges/Southwestern-University,,https://ctcl.org/southwestern-university/,12/1/2020,,11/1/2020,,2/1/2021,"Common Application,School Specific Application,Coalition Application","https://www.southwestern.edu/live/news/13236-southwestern-university-adopts-a-test-optional#:~:text=Southwestern%20University%20Adopts%20a%20Test%2DOptional%20Admission%20Policy,in%20their%20applications%20to%20SU.",https://www.southwestern.edu/policy/finance-and-administration/questions-and-answers-on-immigration-procedures-and-protocols/
Spelman College,GA,"Private,HBCU,All Women's College","Small (<2,000)",Urban,43%,36%,97%,,https://www.youvisit.com/tour/116463/134959,https://apply.spelman.edu/portal/schedule-a-visi,https://www.cappex.com/colleges/spelman-college,,,11/15/2020,,11/1/2020,,2/1/2021,Common Application,,https://www.spelman.edu/admissions/applying-to-spelman/international-students
St. Lawrence University,NY,Private,"Medium (2,000 - 15,000)",Rural,42%,89%,23%,https://apply.stlawu.edu/portal/overnight,https://tour.stlawu.edu/,https://apply.stlawu.edu/portal/info_session_virtual,https://www.collegegreenlight.com/colleges/St-Lawrence-University,,,,,,,2/1/2021,Common Application,https://www.stlawu.edu/admissions/admissions-requirements,
St. Olaf College,MN,Private,"Medium (2,000 - 15,000)",Rural,48%,100%,32%,https://wp.stolaf.edu/admissions/counselors/fly-in/,wp.stolaf.edu/virtual/,https://wp.stolaf.edu/admissions/visit/virtual-visit/,https://www.collegegreenlight.com/colleges/St-Olaf-College,,https://ctcl.org/st-olaf-college/,,,11/15/2020,,1/15/2021,"Common Application,Coalition Application","https://wp.stolaf.edu/news/st-olaf-goes-test-optional-for-admissions#:~:text=St.,go%20%E2%80%9Ctest%2Doptional.%E2%80%9D","https://wp.stolaf.edu/financialaid/undocumented-students/#:~:text=Undocumented%20students%20are%20eligible%20to,Olaf.&text=Students%20must%20complete%20the%20Application,academic%20and%20service%20leadership%20scholarships."
Stevens Institute of Technology,NJ,Private,"Medium (2,000 - 15,000)",Suburban,40%,73%,38%,,https://www.stevens.edu/admissions/undergraduate-admissions/visit-campus,https://www.stevens.edu/admissions/undergraduate-admissions/visit-campus,https://www.collegegreenlight.com/colleges/Stevens-Institute-of-Technology,,,,,11/15/2020,,1/15/2021,Common Application,https://www.stevens.edu/admissions/undergraduate-admissions/how-apply/portfolio-submission,https://www.stevens.edu/admissions/undergraduate-admissions/how-apply/international-students
SUNY at New Paltz,NY,Public,"Medium (2,000 - 15,000)",Suburban,45%,58%,41%,,https://www.newpaltz.edu/admissions/virtualtour.html,https://www.newpaltz.edu/admissions/visit.html,https://www.collegegreenlight.com/colleges/State-University-of-New-York-at-New-Paltz,,,11/15/2020,,,,7/15/2021,"Common Application,School Specific Application",,https://www.newpaltz.edu/president/immigration-resources/
SUNY Binghamton University,NY,Public,"Medium (2,000 - 15,000)",Suburban,41%,70%,42%,,https://www.binghamton.edu/admissions/visit/tour/index.html,https://www.binghamton.edu/admissions/visit/vsessions.html?type=general&person=,https://www.collegegreenlight.com/colleges/binghamton-university,,,11/1/2020,,,,1/15/2021,"Common Application,School Specific Application,Coalition Application",https://www.binghamton.edu/admissions/info/test-policy.html#:~:text=Binghamton%20will%20not%20combine%20scores%20from%20the%20SAT%20and%20ACT.&text=Binghamton%20does%20not%20require%20you%20to%20submit%20any%20SAT%20subject%20tests.,https://www.suny.edu/attend/get-started/undocumented/
SUNY College at Cortland,NY,Public,"Medium (2,000 - 15,000)",Suburban,46%,68%,28%,,https://www.youvisit.com/tour/cortland/79921?pl=f,https://www.youtube.com/watch?v=5ScaxcSLfWQ,https://www.collegegreenlight.com/colleges/SUNY-College-at-Cortland,,,,,,,7/1/2021,"Common Application,School Specific Application",https://www2.cortland.edu/admissions/undergraduate/freshmen-applicants/requirements.dot,https://www.suny.edu/attend/get-started/undocumented/
SUNY Stony Brook University,NY,Public,"Large (15,000 - 25,000)",Suburban,44%,65%,70%,,https://www.stonybrook.edu/commcms/virtual-visit/,https://www.stonybrook.edu/undergraduate-admissions/visit/,https://www.collegegreenlight.com/colleges/Stony-Brook-University,,,,,,,1/15/2021,"Common Application,Coalition Application,School Specific Application",https://www.stonybrook.edu/undergraduate-admissions/apply/freshman/,https://www.stonybrook.edu/commcms/finaid/undocumented_students/index.php
Syracuse University,NY,Private,"Medium (2,000 - 15,000)",Urban,44%,98%,44%,,www.syracuse.edu/admissions/visit-tour/virtual-tour/,https://www.syracuse.edu/admissions/undergraduate/contact/webinars/,https://www.collegegreenlight.com/colleges/Syracuse-University,,,,,11/15/2020,,1/1/2021,Common Application,https://www.syracuse.edu/admissions/undergraduate/first-year/requirements/,https://diversity.syr.edu/dacaundocumented-students/
Texas Christian University,TX,Private,"Medium (2,000 - 15,000)",Suburban,47%,64%,32%,,https://www.youtube.com/watch?v=9NknxkMemz0,https://admissions.tcu.edu/visit/academic-sessions.php,https://www.collegegreenlight.com/colleges/Texas-Christian-University,,,11/1/2020,,11/1/2020,,2/1/2021,"Common Application,School Specific Application",https://www.tcu.edu/news/2020/tcu-announces-standardized-tests-optional-for-fall-2021.php,https://inclusion.tcu.edu/resources/current-students/legal-resources-for-students/
The College of New Jersey,NJ,Public,"Medium (2,000 - 15,000)",Suburban,49%,38%,38%,,https://campustours.com/college/187134/The-College-of-New-Jersey,https://admissions.tcnj.edu/visit/campus-tours/,https://www.cappex.com/colleges/the-college-of-new-jersey,,,,,11/1/2020,,2/1/2021,"Common Application,Coalition Application","https://admissions.tcnj.edu/resources-for/freshman-applicants/#:~:text=In%20light%20of%20the%20extraordinary,the%202020%2D2021%20admission%20cycle.",https://www.njcu.edu/academics/resources-services/undocumented-student-resources
Trinity College,CT,Private,"Medium (2,000 - 15,000)",Urban,33%,100%,35%,,https://www.youtube.com/watch?v=795VdzzR0nQ&feature=youtu.be,https://www.trincoll.edu/admissions/visit-trinity/information-sessions/,https://www.cappex.com/colleges/trinity-college,,,11/1/2020,,11/15/2020,,1/15/2021,Common Application,"https://www.trincoll.edu/admissions/undergraduate-admissions/application-process/#:~:text=As%20of%20fall%202015%2C%20Trinity,for%20admission%2C%20including%20transfer%20applicants.&text=The%20college%20is%20test%2Doptional,diverse%20academic%20talents%20and%20potential.",https://www.trincoll.edu/dean-of-students/daca-undocumented-students/
